,Nose_x,Nose_y,P0,Neck_x,Neck_y,P1,RShoulder_x,RShoulder_y,P2,RElbow_x,RElbow_y,P3,RWrist_x,RWrist_y,P4,LShoulder_x,LShoulder_y,P5,LElbow_x,LElbow_y,P6,LWrist_x,LWrist_y,P7,MidHip_x,MidHip_y,P8,RHip_x,RHip_y,P9,RKnee_x,RKnee_y,P10,RAnkle_x,RAnkle_y,P11,LHip_x,LHip_y,P12,LKnee_x,LKnee_y,P13,LAnkle_x,LAnkle_y,P14,REye_x,REye_y,P15,LEye_x,LEye_y,P16,REar_x,REar_y,P17,LEar_x,LEar_y,P18,LBigToe_x,LBigToe_y,P19,LSmallToe_x,LSmallToe_y,P20,LHeel_x,LHeel_y,P21,RBigToe_x,RBigToe_y,P22,RSmallToe_x,RSmallToe_y,P23,RHeel_x,RHeel_y,P24
0,,,0.0,1018.86,418.505,0.65915,,,0.413268,,,0.310257,,,0.371877,,,0.401809,,,0.299892,,,0.389815,1021.85,559.703,0.703487,998.331,556.874,0.661539,971.727,615.658,0.636072,939.371,665.618,0.694865,1045.26,562.616,0.693619,1048.18,647.963,0.755904,1048.4,712.749,0.761665,,,0.0,,,0.0,,,0.0,,,0.0,1033.53,733.4,0.655097,1045.46,736.33,0.735575,1054.18,718.566,0.59569,933.518,671.514,0.670138,927.654,668.506,0.684504,939.407,671.46,0.598195
1,,,0.0,1021.69,421.371,0.654577,,,0.467101,,,0.327703,,,0.378812,,,0.436627,,,0.281014,,,0.349498,1021.92,556.848,0.785109,1001.11,556.779,0.779797,974.645,618.56,0.770087,948.188,668.722,0.765286,1045.4,559.719,0.758513,1051.26,648.108,0.788123,1062.95,721.548,0.769045,,,0.0,,,0.0,,,0.0,,,0.0,1027.78,724.592,0.612548,1045.34,736.355,0.649668,1068.85,733.313,0.677288,945.252,677.49,0.580563,930.692,671.703,0.622602,945.305,674.485,0.607806
2,,,0.0,1015.95,412.718,0.84386,1057.17,403.726,0.757259,1139.43,403.697,0.638756,1180.73,412.484,0.671281,974.619,427.323,0.78247,,,0.376608,,,0.0,1027.72,568.483,0.743537,1057.14,565.575,0.698668,1068.79,645.127,0.820872,1068.74,718.811,0.804329,1001.26,568.538,0.769724,977.755,612.739,0.763008,954.003,671.446,0.852012,,,0.0,,,0.0,1039.42,377.235,0.560516,,,0.413998,948.27,668.626,0.512688,933.597,668.714,0.615902,951.175,680.396,0.739069,1045.24,721.535,0.524298,,,0.469689,1068.91,736.303,0.814348
3,,,0.0,1010.08,412.432,0.847261,1051.21,394.919,0.739488,1118.93,389.154,0.681181,1168.93,409.645,0.800256,974.597,418.515,0.761533,,,0.290713,,,0.227187,1024.89,553.769,0.78888,1051.36,550.977,0.755872,1071.78,627.517,0.814108,1077.79,715.69,0.800306,1001.14,553.803,0.797919,989.398,600.952,0.754219,957.168,668.716,0.828018,,,0.0,,,0.0,1036.52,374.248,0.550133,,,0.412124,962.997,671.48,0.526362,951.246,671.466,0.577684,954.14,683.279,0.796811,,,0.481922,,,0.489619,1077.79,724.586,0.733756
4,,,0.0,1010.08,409.707,0.843173,1051.29,392.068,0.750272,1139.55,397.872,0.541088,,,0.467768,974.56,418.505,0.758368,,,0.336721,,,0.263963,1024.9,553.779,0.791074,1054.13,550.969,0.756622,1077.69,639.151,0.778595,1092.32,718.559,0.849973,1001.12,553.866,0.79229,992.311,603.96,0.767227,968.81,674.493,0.806758,,,0.0,,,0.0,,,0.324468,,,0.268875,,,0.484828,957.061,671.666,0.539357,960.062,689.183,0.768119,1068.89,721.601,0.500924,,,0.417129,1092.48,733.387,0.806144
5,,,0.0,1007.04,415.457,0.667387,1048.23,409.534,0.559939,,,0.13604,,,0.112075,968.829,421.4,0.619574,,,0.381022,,,0.313967,1027.77,553.786,0.745131,1060.04,550.961,0.726706,1092.5,636.256,0.816794,1112.96,715.614,0.808198,1001.26,553.897,0.737156,998.227,618.556,0.829752,980.641,689.211,0.812935,,,0.0,,,0.0,,,0.148136,,,0.109285,,,0.471226,974.74,689.127,0.548127,980.576,698.006,0.789918,,,0.445004,,,0.385547,1113.09,724.574,0.772361
6,,,0.0,1001.28,412.549,0.793994,1042.44,392.065,0.644608,,,0.49625,,,0.489097,971.762,427.31,0.651359,942.328,471.414,0.625803,886.498,489.104,0.707337,1024.86,550.848,0.794738,1051.33,547.892,0.756729,1092.42,627.436,0.831947,1121.85,703.984,0.77644,1001.12,553.765,0.779105,998.276,621.448,0.859111,992.406,692.12,0.805543,,,0.0,,,0.0,,,0.0,,,0.0,,,0.426229,977.579,689.215,0.555187,995.222,700.981,0.731057,1098.41,715.751,0.545182,,,0.448458,1127.81,718.593,0.757969
7,,,0.0,1001.1,406.626,0.828432,1045.28,388.961,0.792456,1116.02,397.81,0.641548,1163.18,430.117,0.604894,957.001,412.677,0.763954,951.054,459.807,0.703009,886.523,480.358,0.792006,1024.78,550.772,0.803693,1051.25,544.997,0.754293,1095.32,627.427,0.844542,1130.72,698.158,0.770673,998.343,550.962,0.795355,998.391,624.394,0.868509,998.323,695.047,0.83479,,,0.0,,,0.0,,,0.10886,,,0.0,,,0.433952,983.508,695.081,0.530946,1001.13,709.822,0.731329,1098.29,718.538,0.584474,,,0.481421,1139.63,715.657,0.785841
8,,,0.0,998.182,409.705,0.788189,1039.41,392.016,0.6699,,,0.406314,,,0.454174,954.131,424.35,0.69713,933.584,462.543,0.667676,892.294,480.17,0.799303,1024.84,556.863,0.756411,1051.34,553.855,0.74116,1098.34,627.504,0.811791,1139.47,698.093,0.813121,998.363,565.57,0.738108,1004.09,624.495,0.845215,1004.16,698.13,0.80415,,,0.0,,,0.0,,,0.0915189,,,0.0,,,0.499884,992.409,700.969,0.58368,1009.99,715.735,0.786285,1104.26,715.725,0.566082,,,0.470901,1145.41,715.616,0.822934
9,,,0.0,989.405,409.691,0.695287,1027.68,389.046,0.701782,1083.58,403.763,0.59753,1142.43,439.028,0.751822,951.168,430.237,0.606357,,,0.365851,,,0.36945,1027.64,574.377,0.688633,1060.08,568.492,0.635151,1113.1,633.282,0.799503,1151.36,695.265,0.808814,998.279,577.442,0.694802,1015.91,644.953,0.768603,1021.89,715.728,0.831975,,,0.0,,,0.0,,,0.21789,,,0.0,,,0.443442,1001.27,715.769,0.624755,1024.85,727.484,0.721333,,,0.45387,1166.04,695.189,0.529834,1162.94,712.768,0.813801
